Feature,Importance
Mean_4,0.44617933
Mean_3,0.08631693
Max_8,0.064199924
Max_7,0.05824915
Max_5,0.04155672
Max_10,0.02225045
Std_10,0.014471266
Max_11,0.01332786
Mean_11,0.013170122
Min_9,0.011830696
Mean_12,0.010558428
Std_8,0.01051101
Min_6,0.010178843
Min_12,0.00914792
Mean_7,0.008525623
Last_8,0.008104835
Std_9,0.0069602747
Min_11,0.006799346
Max_1,0.006796664
Last_9,0.006720132
Std_7,0.006605999
Min_10,0.0063812044
Min_5,0.006348123
Max_3,0.006187949
Min_7,0.005895122
Min_13,0.0056771496
Max_9,0.005636176
Mean_10,0.004914093
Min_0,0.0047072303
Min_3,0.0046627023
Min_1,0.0045413147
Max_4,0.0039507546
Max_6,0.0038800223
Trend_9,0.0038411396
Std_5,0.0036867682
Std_6,0.0035765937
Mean_6,0.0034104467
Max_13,0.003334775
Trend_8,0.00308495
Last_5,0.0030345113
Min_4,0.003023761
Min_8,0.0027774544
Max_0,0.0025507628
Mean_9,0.002486354
Max_12,0.0024482226
Std_4,0.0024376863
Mean_13,0.002394906
Mean_5,0.002212571
Mean_8,0.0020787409
Trend_10,0.0017675267
Last_6,0.0016794663
Mean_1,0.0015200246
Std_0,0.0015127619
Std_12,0.0014995233
Trend_6,0.0014713468
Mean_0,0.00146432
LSTM_feat_25,0.0013342096
Trend_5,0.0012391862
Std_1,0.0010920702
Last_10,0.0010804894
Trend_11,0.00092335057
Std_13,0.00083572924
Std_3,0.00082368124
Std_11,0.00080912793
LSTM_feat_29,0.00076517585
Last_7,0.0007180535
Last_11,0.0006207275
Trend_12,0.0005207032
Trend_3,0.00044805204
Trend_7,0.0004005449
Last_13,0.00039920092
Trend_13,0.00037951645
Last_12,0.0003731855
Last_3,0.00037132186
Trend_4,0.00033019128
LSTM_feat_27,0.0002215232
LSTM_feat_14,0.00022121628
LSTM_feat_23,0.0002070591
Last_4,0.00018858499
LSTM_feat_13,0.00017763446
LSTM_feat_9,0.00016721891
LSTM_feat_15,0.00014479454
LSTM_feat_10,0.0001429847
Last_0,0.00013740655
LSTM_feat_8,0.0001313177
Trend_0,0.00012975423
LSTM_feat_19,0.00012686555
Trend_1,0.000121246056
LSTM_feat_24,0.00011819257
LSTM_feat_20,0.00011659012
LSTM_feat_6,0.0001134414
LSTM_feat_18,0.00011279695
LSTM_feat_21,0.00010348791
LSTM_feat_7,0.00010191647
LSTM_feat_16,9.951104e-05
LSTM_feat_17,9.9048346e-05
LSTM_feat_11,9.849648e-05
LSTM_feat_5,8.7117725e-05
LSTM_feat_22,8.6372056e-05
LSTM_feat_30,8.516476e-05
LSTM_feat_12,8.338391e-05
LSTM_feat_26,8.164796e-05
LSTM_feat_28,7.946822e-05
Last_1,7.6443284e-05
LSTM_feat_2,6.688294e-05
LSTM_feat_1,6.121382e-05
LSTM_feat_4,6.030847e-05
LSTM_feat_31,5.9324746e-05
LSTM_feat_3,5.4197324e-05
LSTM_feat_0,3.490692e-05
Trend_2,0.0
Min_2,0.0
Last_2,0.0
Max_2,0.0
Mean_2,0.0
Std_2,0.0
